"Part";"Value";"Device";"Package";"Description";"";
"R101";"1.74K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R102";"170K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R103";"32K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R104";"350";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R105";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R106";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R107";"1.74K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R108";"1.74K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R109";"50K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R110";"50K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R111";"50K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"RESET";"TL3365";"TL3365";"TL3365";"";"";
"U1";"ATMEGA328PNORM";"ATMEGA328PNORM";"QFP-32-GP_-_QFP80P900X900X120-33T500N";"Stand Alone - Arduino Nano";"";
"U7";"LMV324";"LMV324";"TSSOP-14-HS_-_SOP65P640X120-14N";"";"";
"U8";"LMV324";"LMV324";"TSSOP-14-HS_-_SOP65P640X120-14N";"";"";
"U9";"LMV324";"LMV324";"TSSOP-14-HS_-_SOP65P640X120-14N";"";"";
"U10";"LMV324";"LMV324";"TSSOP-14-HS_-_SOP65P640X120-14N";"";"";
"VR1";"LM317";"LM317";"SOT230P700X170-4N";"Linear Voltage Regulator";"";
"XTAL1";"HC-49USX";"HC-49USX";"XTALRR488W43L1097T455H350B";"Quartz Oscillator";"";
