"Part";"Value";"Device";"Package";"Description";"";
"PWR-SW";"PWR-BREAKOUTSMALL";"PWR-BREAKOUTSMALL";"PWR-BR-SM";"";"";
"Q1";"RQ5A030AP";"RQ5A030AP";"SOT-23-3_-_SOT95P280X100-3N";"-12V P-Ch MOSFET";"";
"Q25";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q26";"SSM3K361R-LFHS-SOT-23F";"SSM3K361R-LFHS-SOT-23F";"HS-SOT-23F";"N-Channel 100 V 3.5A (Ta) 1.2W (Ta) Surface Mount SOT-23F";"";
"Q27";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q28";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q29";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q30";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q31";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q32";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q33";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q34";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q35";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q36";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q37";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q38";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q39";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q40";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q41";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q42";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q43";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q44";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q45";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q46";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q47";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q48";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q49";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q50";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"R1";"4.7K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R2";"4.7K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R3";"2.8K";"RESISTOR0805";"RESC2012X65N";"";"";
"R4";"1K";"RESISTOR0805";"RESC2012X65N";"";"";
"R5";"70m";"R-US_CHIP-2010(5025-METRIC)";"RESC5025X71";"Resistor Fixed - ANSI";"";
"R6";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R7";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R8";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R9";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R10";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R11";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R12";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R13";"60m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R14";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R15";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R16";"100K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R17";"15K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
